a|Assets\DiagramasDeVigas\vigaA.png|(-fm0*Math.pow(fd1,3))/(48*ye*pvi)|((-fm0*fd0)/(48*ye*pvi))(3*Math.pow(fd1,2)-4*Math.pow(fd0,2))
b|Assets\DiagramasDeVigas\vigaA.png|(-fm0*Math.pow(fd1,3))/(48*ye*pvi)|((-fm0*fd0)/(48*ye*pvi))(3*Math.pow(fd1,2)-4*Math.pow(fd0,2))
