c|Assets\DiagramasDeVigas\vigaA.png|(-7*FPMA*(LONG^3))/(768*ELAS*INER)|(-7*FPMA*(LONG^3))/(768*ELAS*INER)
a|Assets\DiagramasDeVigas\vigaA.png|(-fm0*Pow(fd1,3))/(48*ye*pvi)|((-fm0*fd0)/(48*ye*pvi))*(3*Pow(fd1,2)-4*Pow(fd0,2))
b|Assets\DiagramasDeVigas\vigaA.png|(-fm0*Pow(fd1,3))/(48*ye*pvi)|((-fm0*fd0)/(48*ye*pvi))*(3*Pow(fd1,2)-4*Pow(fd0,2))
